WSA_AGIDF,Ecode
TX1010293,SB
MS0450002,N
MS0370006,N
TX0610029,B
AL0001070,S
NC0454030,B
NC6054001,S
MS0220003,N
AZ0407504,S
AZ0407504,S
KY0760407,SB
KY1020889,SB
KY1020299,S
NC0118010,S
WA5326800,N
CT1280021,N
TX1010013,S
AR0000493,N
OH1401211,N
KY0160052,N
TX1070252,S
83890023,N
PA6620020,N
KY1000124,SB
KY0230987,S
KY0011016,S
KY1040377,SB
MD0070011,S
DE0000557,N
MS0170010,N
MS0170010,N
NC0363010,S
NC5063011,SB
NC0363020,S
CA1910159,N
FL6090150,N
TX1010239,B
NY1400443,S
NJ0327001,S
TN0000007,S
OH7300303,S
MI0003190,S
AL0000361,S
TX0290005,S
NC0197010,S
KY0550209,S
CA4210011,SB
NJ1345001,S
IN5282002,S
AZ0407017,N
AZ0407017,N
HI0000135,N
OH4505412,N
MI0005850,SB
CO0144005,S
CO0116001,S
CO0116001,S
FL1170703,N
FL4431215,N
MT0000153,S
NJ1605002,S
PA5650069,N
KY0300336,S
FL1460597,N
MS0380006,N
SC2620003,N
FL6290327,S
TX2460022,N
MI0000465,SB
NE9778054,S
TX1700197,SB
UTAH18027,S
SD4602175,S
NC0279010,S
AL0001786,SB
MD0200003,N
MD0200003,N
TX1013429,S
GA0510033,N
IL0311020,SB
TX0430004,SB
OK1020404,S
OK1020419,S
OK1020418,S
TX1013303,SB
AR0001076,S
MO2010487,S
MO2024000,SB
MO2024313,SB
MO2020421,S
OH3102612,S
CT0040011,N
MI0002838,S
CT1370011,S
TX2270001,S
NJ1345001,S
PR0005487,N
NC0467042,N
MA2348000,S
PA5020011,S
PA5260036,S
PA5260006,SB
PA5260019,S
PA5260011,S
NC0118015,S
TX1780003,S
MN1410007,S
CA0410011,N
AR0000513,S
IN5247001,S
LA1073031,S
NY1400443,S
AL0001265,S
TN0000150,S
TX0250014,S
NJ1352005,S
NJ1436002,N
MS0240084,S
IL1635110,S
IL0555100,S
IL1890300,S
IL0775100,S
TX0200497,S
WA5372250,S
TX0610213,S
MI0005480,S
AR0000466,SB
AR0001076,S
LA1103079,N
TX0430044,S
CO0101170,S
TX1013303,SB
SC0420004,SB
TX1013092,S
FL1370393,N
CO0116001,S
IL1635040,S
ID7100030,N
MI0004370,SB
OK1020910,N
SC4320003,N
LA1051004,S
AL0001489,N
MD0010011,S
MD0010011,S
NJ1421003,SB
NJ0327001,S
NJ1605002,S
NJ1431001,SB
PA4560009,S
MO5010413,S
AL0000539,SB
OH2903312,N
CA3810001,S
VA3700500,S
LA1073031,S
PR0002712,N
FL1570316,SB
FL1570470,S
FL1570349,S
PA2409013,N
TN0000104,S
TN0000394,N
FL6290333,B
NJ1605002,S
NJ0715001,SB
OK1020418,S
NY3503573,N
SD4600865,S
SC0820008,S
MS0550005,N
TX1013360,S
MI0005480,S
TX1700197,SB
CO0135718,S
LA1103118,N
TX1440005,N
CA4210030,S
PR0004915,N
NY5110526,S
TX2080001,S
MS0610036,N
OH6000412,S
FL1460782,N
CA3600152,N
FL2550908,N
GA0510004,S
TX1010013,S
CA3310017,N
AR0000459,N
MO5024601,N
TX2270014,S
GA0510034,N
NY5801233,N
TN0000768,N
SC0420011,S
CO0103843,SB
TX1013092,S
TX1010238,SB
PA3060082,N
IA5625062,S
MI0002838,S
AL0000816,S
TX2020067,N
MO2020421,S
NY1400443,S
AZ0409003,N
NJ1613001,S
GA2810000,S
CA5110003,N
55293201,N
PA5020043,S
FL3354881,N
OH1502911,N
PR0002972,N
OH6500812,S
DE0000271,S
SD4602175,S
CO0118025,N
TX1010013,S
PR0004604,N
AR0000734,N
FL5360303,N
PA2400806,N
NC0465199,N
PA1090081,S
CA4810701,B
CO0130105,N
CO0116001,S
CO0116001,S
MO6010716,S
WY5600011,S
KS2017701,S
CA4810800,N
RI1559511,SB
MS0540002,N
OH3000111,S
CT1510011,S
NM3502407,N
LA1037004,N
VA1195900,S
MA4044000,S
WI2410100,S
WA5395910,N
NY2701047,S
TX1011249,S
NJ1345001,S
TX0460019,N
LA1103124,N
GA1030131,S
TX1010238,SB
CA1910087,S
MI0000110,S
PA1460035,N
ND0801502,S
CA1910017,SB
CA1910048,S
CA1910048,S
KY1180085,S
TN0000330,S
KY1180471,S
KY0930333,S
KY0240521,SB
GA1570117,SB
IA7727031,S
NY4100050,S
VA3710100,S
NJ0264001,N
MN1620026,S
VT0005092,S
VA3570150,SB
FL6144898,SB
PA4180070,S
KY0351008,S
NY5801232,S
TX0430044,S
NC0440010,SB
MI0000465,SB
OH4800911,S
UTAH06013,S
KY0860150,N
AL0001130,S
AL0000174,SB
GA1490000,S
AL0001761,SB
DE00A0349,N
MI0002838,S
PA2409003,N
TX0790146,N
KY0330205,S
IN5224002,S
MD0080025,N
OR4100719,N
TX1010013,S
FL1370888,N
RI1592024,SB
NC0291010,S
VA1155641,S
NJ0327001,S
FL2100626,N
TN0000429,SB
WV3300608,S
PR0002752,N
MI0004847,S
NY4500186,B
NY4500168,S
TX0430044,S
AL0001808,S
CO0116001,S
TX1520002,S
VT0005092,S
NJ1605002,S
